timestamp,detected_text,target_found
2025-09-03T23:47:58.902498,,False
2025-09-03T23:47:59.532459,- HELE ‘e) ‘s eee | aon 3 \ oo.,False
2025-09-03T23:48:00.211299,: HELLO,True
2025-09-03T23:48:00.848295,"HELLO - eee | } ¥ L—_ = \ \ Ng 3} t- \ \ fe = i,",True
2025-09-03T23:48:01.390157,; WE LEO,False
2025-09-03T23:48:02.065081,; 4 ee Ene,False
2025-09-03T23:48:02.634292,; HEEL © | Pr q (Com \ f \ q - -,False
2025-09-03T23:48:03.252469,FS eae ee eS WHE be Ea . ae a \ | | } q -- | _,False
2025-09-03T23:48:03.773719,WELL Oo | \ | ak ‘S \ | | eae ig,False
2025-09-03T23:48:04.476921,3 of Be : 7 = 3 = — “2 é é .o SS,False
2025-09-03T23:48:05.280549,eS,False
2025-09-03T23:48:05.947165,eal ” — ” . é 2 . - . * . a } 4 oy,False
2025-09-03T23:48:06.508259,,False
2025-09-03T23:48:07.419784,Z £ * §,False
2025-09-03T23:48:08.238562,Je |,False
2025-09-03T23:48:09.122417,6 |,False
2025-09-03T23:48:09.962668,,False
2025-09-03T23:48:10.573678,,False
